: E10 [male - female]
actor	actress
batman	batwoman
boar	sow
boy	girl
brother	sister
buck	doe
bull	cow
businessman	businesswoman
chairman	chairwoman
dad	mom
dad	mum
daddy	mommy
daddy	mother
daddy	mom
duke	duchess
emperor	empress
father	mother
fisherman	fisherwoman
fox	vixen
gentleman	lady
gentleman	gentlewoman
gentleman	madam
god	goddess
grandfather	grandmother
grandpa	grandma
grandson	granddaughter
groom	bride
headmaster	headmistress
heir	heiress
hero	heroine
hound	bitch
husband	wife
king	queen
lion	lioness
man	woman
manager	manageress
mister	miss
mister	missis
mister	missus
mister	mis'ess
mister	mrs
mister	ms
mister	madam
murderer	murderess
nephew	niece
poet	poetess
policeman	policewoman
prince	princess
ram	ewe
rooster	hen
sculptor	sculptress
sir	madam
son	daughter
stallion	mare
stepfather	stepmother
superman	superwoman
tiger	tigress
uncle	aunt
valet	maid
valet	maidservant
valet	housemaid
valet	chambermaid
valet	handmaid
valet	handmaiden
valet	parlormaid
valet	parlourmaid
waiter	waitress
webmaster	webmistress
