ngram,size,n
gross income,2,10100
internal revenue,2,7771
foreign corporation,2,7666
income tax,2,7503
taxable income,2,6479
fair market,2,6308
tax return,2,4653
real property,2,3881
tax imposed,2,3513
adjusted basis,2,3459
revenue service,2,3226
internal revenue service,3,3223
controlled foreign,2,3128
special rules,2,3085
net operating,2,2935
debt instrument,2,2925
capital gain,2,2769
operating loss,2,2715
net operating loss,3,2707
controlled foreign corporation,3,2615
tax liability,2,2600
life insurance,2,2348
income tax return,3,2208
domestic corporation,2,2098
tax purposes,2,2096
district director,2,2076
withholding agent,2,2070
tax exempt,2,2028
federal income,2,2027
amount equal,2,1936
federal income tax,3,1926
net income,2,1909
gross receipts,2,1882
term capital,2,1844
capital loss,2,1831
foreign income,2,1742
foreign country,2,1702
real estate,2,1691
health plan,2,1568
safe harbor,2,1549
pro rata,2,1500
services performed,2,1420
insurance company,2,1417
amounts paid,2,1395
private foundation,2,1389
income taxes,2,1363
total amount,2,1357
amount paid,2,1333
ordinary income,2,1301
acquiring corporation,2,1286
examples illustrate,2,1272
foreign tax,2,1252
consolidated return,2,1251
estate tax,2,1235
social security,2,1228
personal property,2,1203
health insurance,2,1137
common parent,2,1136
defined benefit,2,1127
holding company,2,1125
short term,2,1124
nonresident alien,2,1116
investment company,2,1094
effectively connected,2,1087
gross estate,2,1084
de minimis,2,1075
aggregate amount,2,1060
company income,2,1058
u.s person,2,1051
amount determined,2,1047
information required,2,1043
surviving spouse,2,1038
month period,2,1033
distributive share,2,1026
common stock,2,1008
tax credit,2,1006
accrued benefit,2,1001
net capital,2,1001
foreign income taxes,3,989
arm's length,2,979
depreciation deduction,2,964
benefit plan,2,962
tax court,2,958
foreign corporations,2,951
withholding certificate,2,951
foreign base,2,950
personal holding,2,944
base company,2,923
foreign base company,3,923
term capital gain,3,917
capital gains,2,913
federal tax,2,911
bona fide,2,905
income derived,2,903
personal holding company,3,903
original issue,2,894
dollar amount,2,893
financial institution,2,890
issue price,2,887
disqualified person,2,883
amount realized,2,881
gain recognized,2,881
prior taxable,2,857
retirement age,2,846
term qualified,2,837
annuity contract,2,836
income tax purposes,3,831
post 1986,2,827
holding period,2,826
ownership change,2,826
normal retirement,2,823
investment income,2,821
taxes imposed,2,817
preferred stock,2,813
return information,2,810
tax shelter,2,805
functional currency,2,799
pro rata share,3,789
rata share,2,789
adjusted gross,2,786
joint return,2,785
income attributable,2,780
u.s real,2,777
alien individual,2,774
applicable percentage,2,767
principal purpose,2,763
regulated investment,2,763
plan sponsor,2,757
subsequent taxable,2,757
issue discount,2,754
original issue discount,3,751
lower tier,2,749
foreign source,2,748
gift tax,2,746
defined benefit plan,3,745
u.s real property,3,742
taxpayer identification,2,738
highly compensated,2,730
information return,2,728
low income,2,727
insurance contract,2,726
passive activity,2,726
distilled spirits,2,725
return preparer,2,724
tax returns,2,722
tax return preparer,3,714
property acquired,2,712
principal amount,2,711
capital account,2,708
defined contribution,2,706
investment trust,2,703
foreign person,2,702
beneficial owner,2,686
short term capital,3,683
estate investment,2,682
real estate investment,3,682
loss carryover,2,679
taxes paid,2,673
account balance,2,671
adjusted gross income,3,670
voting power,2,670
rules applicable,2,667
separate return,2,667
term capital loss,3,667
loss deduction,2,663
property transferred,2,659
qualified property,2,659
participating ffi,2,658
gain recognition,2,655
amounts received,2,654
local law,2,651
deemed paid,2,648
calendar quarter,2,645
dual consolidated,2,643
income gain,2,639
written statement,2,636
annuity starting,2,635
tax paid,2,630
including extensions,2,628
political subdivision,2,628
day period,2,627
deferred compensation,2,622
nonresident alien individual,3,620
regulated investment company,3,619
tangible property,2,617
housing credit,2,616
federal income tax purposes,4,615
holding company income,3,613
personal holding company income,4,613
funding target,2,612
employee contributions,2,611
short taxable,2,608
foreign currency,2,607
foreign trust,2,604
0 0 0,3,601
life annuity,2,601
u.s tax,2,601
consolidated loss,2,600
estate investment trust,3,599
real estate investment trust,4,599
voting stock,2,599
dual consolidated loss,3,597
optional form,2,596
plan administrator,2,596
foreign taxes,2,595
proportionate share,2,595
consolidated net,2,594
partnership taxable,2,594
u.s transferor,2,592
normal retirement age,3,588
dividends paid,2,587
property held,2,582
separate category,2,582
transferor corporation,2,581
earned income,2,580
tier corporation,2,579
u.s source,2,576
foreign branch,2,574
federal income tax return,4,572
publicly traded,2,572
calendar month,2,570
loss subgroup,2,566
separate unit,2,563
charitable contributions,2,561
purchase price,2,561
loss corporation,2,559
wholly owned,2,558
succeeding taxable,2,550
debt instruments,2,549
stock ownership,2,549
estimated tax,2,548
partnership agreement,2,546
trust fund,2,545
service provider,2,543
timely filed,2,537
active conduct,2,536
life insurance company,3,533
retirement benefit,2,532
individual retirement,2,531
tested income,2,531
collective bargaining,2,529
u.s shareholder,2,524
loss account,2,519
outstanding stock,2,519
tax basis,2,519
cost sharing,2,517
basis adjustment,2,515
principal residence,2,515
exempt organization,2,514
2.5 2.5,2,513
property subject,2,513
foreign personal,2,506
foreign personal holding,3,506
accumulated earnings,2,503
intangible property,2,502
taxable period,2,501
contribution plan,2,500
defined contribution plan,3,499
governing instrument,2,499
excise tax,2,495
employer contributions,2,493
foreign personal holding company,4,491
macrs property,2,491
single sum,2,488
recovery period,2,487
u.s income,2,485
retirement plan,2,480
foreign partnership,2,477
average annual,2,475
qualified opportunity,2,475
