,Stopwords?,References Preserved?,Training Algorithm,Ngrams?,Dimensions,Window,Minimum Count Threshold,Number of Training Epochs,Pearson Correlation Coefficient,Pearson Correlation Coefficient P-Value,Spearman Correlation Coefficient,Spearman Correlation Coefficient P-Value,Unknown Word Pairs,Overall Analogy Accuracy (%)
0,True,True,FastText,True,64,20,5,5,0.34473904348091977,0.1753830835997986,0.30037908953501297,0.2414142723912359,0.0,0.0
1,False,False,Word2Vec,True,128,8,20,20,0.42376190690599813,0.0900578316906054,0.4116306041776104,0.10066205365350644,0.0,5.0
2,True,True,FastText,True,256,20,50,20,0.19519686046009,0.5227762069990722,0.24305089747054784,0.42362919370839347,23.52941176470588,6.25
3,True,True,FastText,True,256,8,10,20,0.2509252631351254,0.33132455098837066,0.37825514978483116,0.13437474798646099,0.0,0.0
4,True,True,Word2Vec,True,128,20,50,5,0.3757343819485904,0.20579336092600986,0.3128931093873719,0.2979160959367903,23.52941176470588,12.5
5,True,False,Word2Vec,True,128,20,50,20,0.36896673488706244,0.21473749464812567,0.36876687892083126,0.21500520589752953,23.52941176470588,12.5
6,True,False,Word2Vec,True,128,8,10,20,0.43354738728605857,0.08211007816318572,0.38938030124909084,0.12237389697242082,0.0,9.523809523809524
7,True,True,FastText,True,128,20,50,5,0.31235477760303776,0.2987927652364106,0.2262887666105101,0.4572322368103827,23.52941176470588,0.0
8,True,True,FastText,True,128,20,50,20,0.29250198985906883,0.33214478307715645,0.2151140127038182,0.48032169937175884,23.52941176470588,0.0
9,False,True,Word2Vec,True,256,2,5,2,0.14243287745696356,0.5855284493716775,0.19407208665430878,0.4554434301838144,0.0,0.0
10,True,False,FastText,True,32,8,5,2,0.48296332998031305,0.049556564531799865,0.33128228804684556,0.1939710540270862,0.0,0.0
11,True,False,FastText,True,128,8,20,20,0.3282016619853255,0.19840156409830806,0.33375454392779214,0.19046290449656142,0.0,0.0
12,True,False,Word2Vec,True,64,20,50,20,0.4294685119008477,0.14304229952928446,0.4861017949410957,0.09213174972707554,23.52941176470588,18.75
13,True,True,FastText,True,32,2,20,2,0.44466454404827993,0.07371289760525215,0.34364356745157865,0.1768499969255497,0.0,5.0
14,True,False,FastText,True,256,8,20,8,0.27386334419256847,0.28748052540516145,0.3152126248206926,0.21780742039202328,0.0,0.0
15,False,True,FastText,True,256,8,5,20,0.22275831181706823,0.3901358681062539,0.3609493586182049,0.15462189697809428,0.0,0.0
16,True,True,Word2Vec,True,64,20,20,5,0.4020553496836997,0.10963909297630177,0.3943248130109841,0.11728882951144101,0.0,0.0
17,True,False,Word2Vec,True,64,8,50,20,0.3092117776118119,0.3039404697902654,0.37714794435085014,0.20395490810586414,23.52941176470588,0.0
18,False,False,Word2Vec,True,128,20,20,5,0.37720034078717224,0.13555333549949025,0.40792222035619047,0.10407419028715661,0.0,10.0
19,True,True,Word2Vec,True,128,8,20,20,0.4335652070378899,0.0820960865038349,0.38319966154672436,0.12894454888851256,0.0,0.0
20,False,True,Word2Vec,True,32,2,5,8,0.20249034790070206,0.4357309664155631,0.19654434253525538,0.4496082143105279,0.0,9.523809523809524
21,False,False,FastText,True,128,8,50,5,0.30887982035134753,0.30448708305789834,0.24025720899387487,0.42914187218689703,23.52941176470588,0.0
22,True,True,Word2Vec,True,32,8,5,2,0.31126295417518474,0.223942043891576,0.30037908953501297,0.2414142723912359,0.0,0.0
23,True,False,FastText,True,256,20,50,5,0.2522509569507772,0.4057285609764884,0.2262887666105101,0.4572322368103827,23.52941176470588,6.25
24,False,True,FastText,True,256,8,10,5,0.2776398803996161,0.2806162468201602,0.32139326452305916,0.20842679544350706,0.0,0.0
25,False,False,FastText,True,256,8,20,2,0.37395840593741225,0.13922039713937875,0.2991429615945396,0.2434514545873469,0.0,0.0
