,Stopwords?,References Preserved?,Training Algorithm,Ngrams?,Dimensions,Window,Minimum Count Threshold,Number of Training Epochs,Pearson Correlation Coefficient,Pearson Correlation Coefficient P-Value,Spearman Correlation Coefficient,Spearman Correlation Coefficient P-Value,Unknown Word Pairs,Overall Analogy Accuracy (%)
0,True,True,FastText,True,64,20,5,5,0.2616433801855893,0.2395108542598514,0.1320872077957908,0.5579044632316312,0.0,0.0
1,False,False,FastText,False,64,20,10,20,0.21867250871116714,0.32822485057477035,0.14909414442185828,0.5078366606132617,0.0,0.0
2,False,False,Word2Vec,True,128,8,20,20,0.33089470918431935,0.13253405865468354,0.17006936626067484,0.4492469647391113,0.0,0.0
3,True,True,FastText,True,256,20,50,20,0.2332392363554085,0.29619569263690304,0.19728046486238282,0.37885471992135034,0.0,0.0
4,True,True,FastText,True,256,8,10,20,0.13120997896203335,0.5605456873180484,0.10374231341901166,0.6459224033863727,0.0,0.0
5,False,False,Word2Vec,False,256,2,20,2,0.09082056223425651,0.6877186366288678,-0.002834489437677914,0.9900116670928694,0.0,0.0
6,True,False,FastText,False,256,2,5,8,-0.020711093854846,0.9271091499588363,-0.0005668978875355828,0.9980022871946365,0.0,0.0
7,True,True,Word2Vec,False,256,20,20,20,0.2653359676160703,0.23270135497332103,0.16666797893546134,0.4584998964118978,0.0,0.0
8,True,False,Word2Vec,False,64,20,50,5,0.2800941846259139,0.20675918101659446,0.21882258458873496,0.32788468852392383,0.0,27.27272727272727
9,True,True,FastText,False,64,20,50,5,0.23812985202720166,0.2858914994955963,0.19728046486238282,0.37885471992135034,0.0,9.090909090909092
10,True,True,FastText,False,256,20,50,20,0.12903140691095757,0.5671291422139092,0.1819742218989221,0.41764534414500243,0.0,0.0
11,True,False,FastText,False,64,8,5,5,0.059638998954766466,0.7920591976279818,-0.0022675915501423312,0.9920092643391916,0.0,9.090909090909092
12,True,True,Word2Vec,True,128,20,50,5,0.2998236027664789,0.17521334689762905,0.22052327825134171,0.32404465460670784,0.0,9.090909090909092
13,True,False,Word2Vec,True,128,20,50,20,0.3852781580862485,0.07660728627644753,0.2613399261539037,0.24007615513321223,0.0,9.090909090909092
14,True,False,Word2Vec,True,128,8,10,20,0.26455257381596914,0.23413530409502503,0.1678017747105325,0.4554046851862623,0.0,0.0
15,False,True,FastText,False,128,20,50,5,0.0785131343876912,0.7283659651451938,0.10657680285668958,0.6368851472171544,0.0,0.0
16,True,True,FastText,True,128,20,50,5,0.2657304182762804,0.23198152030765187,0.2154211972635215,0.33564604991673164,0.0,0.0
17,False,False,FastText,False,32,8,5,8,0.19642733892595549,0.3809612270604067,0.15249553174707176,0.49809176756415896,0.0,0.0
18,True,True,FastText,True,128,20,50,20,0.29784743335066344,0.17821403036228187,0.2335619296646601,0.29550882619673297,0.0,0.0
19,False,True,Word2Vec,True,256,2,5,2,0.23371865542941536,0.29517558406183064,0.05385529931588037,0.8118569961745683,0.0,18.181818181818183
20,True,False,FastText,True,32,8,5,2,0.06720803002895771,0.7663376569771165,0.0725629296045546,0.7482811069797606,0.0,0.0
21,True,False,FastText,True,128,8,20,20,0.20507700189342362,0.3599121479295229,0.10204161975640491,0.651368099582037,0.0,0.0
22,True,False,Word2Vec,True,64,20,50,20,0.4213130773363449,0.050844665081459635,0.23866401065248039,0.2847797783983435,0.0,18.181818181818183
23,False,True,FastText,False,64,8,10,20,0.16066412506404357,0.475069984219231,0.08390088735526625,0.7104777696107393,0.0,0.0
24,True,True,FastText,True,32,2,20,2,-0.03484311763714061,0.877660806511704,-0.048186320440524545,0.8313705087044582,0.0,0.0
25,True,False,Word2Vec,False,256,8,5,8,0.18990920812737155,0.39727326499097787,0.1116788838445098,0.6207437175737802,0.0,0.0
26,True,True,Word2Vec,False,256,2,20,8,0.12343504220493459,0.5841955343321776,0.015306242963460736,0.9460995911115722,0.0,9.090909090909092
27,True,True,Word2Vec,False,64,8,10,20,0.24436148568638463,0.27309000246975346,0.1388899824462178,0.5376143024372451,0.0,0.0
28,True,True,Word2Vec,False,128,8,5,5,0.1617670731706891,0.4720034180667584,0.0663270528416632,0.7693198085686848,0.0,18.181818181818183
29,True,True,Word2Vec,False,256,20,50,20,0.23520875922312107,0.29201882017156106,0.12471753525782822,0.5802650879637687,0.0,0.0
30,False,False,FastText,False,256,8,5,2,0.06152382312184601,0.7856334032081952,0.1320872077957908,0.5579044632316312,0.0,0.0
31,True,False,Word2Vec,False,256,2,5,2,0.012254033921693538,0.9568369529724569,-0.15022794019692945,0.5045781418998159,0.0,9.090909090909092
32,True,False,FastText,True,256,8,20,8,0.1808660432582089,0.420534873158193,0.2103191162757012,0.34749064022147347,0.0,0.0
33,False,True,FastText,True,256,8,5,20,0.11863574243828126,0.5990042405309685,0.1553300211847497,0.49004178559596023,0.0,0.0
34,True,True,FastText,False,128,20,50,20,0.2124445600284799,0.34252690785417345,0.20635083106295216,0.35687034758284697,0.0,9.090909090909092
35,True,True,Word2Vec,True,64,20,20,5,0.3744865720155265,0.08596208623558711,0.23639641910233805,0.2895178261397594,0.0,18.181818181818183
36,False,False,FastText,False,128,20,50,5,0.01519822829682714,0.9464794322347951,0.049320116215595705,0.8274597445376942,0.0,9.090909090909092
37,True,False,Word2Vec,True,64,8,50,20,0.36331081987826,0.09652078647887319,0.20918532050063005,0.3501556620165177,0.0,18.181818181818183
38,False,False,Word2Vec,True,128,20,20,5,0.30500928699884455,0.16750510146835101,0.24093160220262272,0.2800904217994686,0.0,9.090909090909092
39,True,True,Word2Vec,True,128,8,20,20,0.24219848170519356,0.2774917328273189,0.12244994370768589,0.5872222966958964,0.0,0.0
40,False,False,Word2Vec,False,128,20,20,20,0.26737118692888995,0.22900293485602624,0.14739345075925153,0.5127434659204368,0.0,18.181818181818183
41,False,True,Word2Vec,True,32,2,5,8,0.2600231425787154,0.2425392188199795,0.1252844331453638,0.5785313734093832,0.0,18.181818181818183
42,False,True,FastText,False,256,2,5,5,-0.014359555440985586,0.9494290598361959,0.08049950003005277,0.7217544549647206,0.0,0.0
43,True,False,FastText,False,128,20,5,5,0.14128173084411466,0.5305628807972854,0.171203162035746,0.4461845332453426,0.0,0.0
44,False,False,FastText,True,128,8,50,5,0.20172533790633224,0.3679870779597534,0.1746045493609595,0.43706340745214756,0.0,0.0
45,True,True,FastText,False,256,20,5,20,0.10232672374535336,0.6504539763366651,0.08333398946773067,0.712353233008201,0.0,0.0
46,True,False,FastText,False,256,8,5,2,0.010412493788609915,0.9633189174769605,0.009637264088104908,0.9660483100722514,0.0,9.090909090909092
47,False,False,Word2Vec,False,128,8,5,5,0.2517126911515849,0.25846138365860083,0.14455896132157361,0.5209717992143068,0.0,9.090909090909092
48,False,False,FastText,False,128,8,50,5,0.09159591529523825,0.6851842309901188,0.1088443944068319,0.6296909805134877,0.0,9.090909090909092
49,True,True,Word2Vec,True,32,8,5,2,0.2499207957708804,0.26198004205422676,0.10430921130654723,0.6441110384529862,0.0,18.181818181818183
50,True,True,FastText,False,64,20,10,20,0.19094883361117077,0.39464583386527213,0.09013676411815767,0.6899564660428967,0.0,0.0
51,True,False,FastText,False,256,8,20,2,0.029546013932248247,0.8961536942681401,0.04365113734023988,0.8470512563794537,0.0,27.27272727272727
52,False,True,Word2Vec,False,128,8,50,20,0.20648610183608807,0.35654821224408345,0.12415063737029265,0.5820010452190858,0.0,0.0
53,True,False,FastText,True,256,20,50,5,0.20571673664643042,0.3583826407658891,0.2035163416252742,0.36365927743656723,0.0,0.0
54,False,True,FastText,True,256,8,10,5,0.12028574554969727,0.5938952978986444,0.18140732401138648,0.41912215561457056,0.0,0.0
55,False,False,FastText,True,256,8,20,2,0.17787515971378187,0.4283872846274904,0.14739345075925153,0.5127434659204368,0.0,0.0
56,True,False,Word2Vec,False,256,20,50,20,0.23574571560823782,0.2908864350424864,0.11508027116972332,0.6100750413751528,0.0,9.090909090909092
57,True,True,FastText,False,64,8,20,5,0.09121003272685974,0.686445163221524,0.0017006936626067484,0.9940069078084173,0.0,9.090909090909092
58,False,False,FastText,True,32,8,20,5,0.22659190050960487,0.31056372873879556,0.09637264088104909,0.6696434146160171,0.0,0.0
59,False,True,FastText,False,128,20,5,5,0.05834350579425019,0.7964834260384385,0.13322100357086197,0.5544990498417603,0.0,0.0
60,True,False,Word2Vec,True,64,20,10,5,0.34902724221722237,0.11137116712943719,0.18877699654934907,0.40014572647911106,0.0,18.181818181818183
61,True,True,FastText,False,128,8,50,5,0.052294186402962774,0.8172203477275833,0.02891179226431472,0.8983715274657935,0.0,27.27272727272727
62,False,False,FastText,False,256,20,50,20,0.10970448402425244,0.6269706703069076,0.14059067610882453,0.5325958086976024,0.0,0.0
63,False,False,Word2Vec,True,32,8,20,5,0.3990178610211332,0.06583038679154743,0.18707630288674232,0.4044820160596716,0.0,9.090909090909092
64,True,True,FastText,False,256,8,20,2,0.0320841477778728,0.8872856513104218,0.005668978875355828,0.9800247785734897,0.0,18.181818181818183
65,True,False,FastText,False,256,8,10,5,0.07718273046424011,0.7328046259971004,0.1286858204705773,0.5681766061519533,0.0,0.0
66,False,False,FastText,True,64,20,50,20,0.29484685574996683,0.18283734193246315,0.13322100357086197,0.5544990498417603,0.0,0.0
67,False,True,Word2Vec,True,128,20,10,20,0.3659600046190565,0.09393554274314043,0.24660058107797853,0.2685801037258241,0.0,18.181818181818183
68,True,True,FastText,False,128,20,5,5,0.1250690566610841,0.579189783543507,0.09183745778076442,0.684395364144228,0.0,0.0
69,False,True,FastText,False,32,2,5,2,-0.12959020766198878,0.5654372399062267,-0.13945688033375336,0.5359390394626347,0.0,18.181818181818183
70,False,False,FastText,False,128,20,5,5,0.06504673293588689,0.7736593638389606,0.1519286338595362,0.4997095131974024,0.0,0.0
71,True,True,Word2Vec,True,256,20,50,5,0.2715530371527113,0.2215253550891141,0.2142874014884503,0.3382572096246199,0.0,18.181818181818183
72,True,True,FastText,True,128,20,10,5,0.20826095460191965,0.35233723723078103,0.17800593668617298,0.4280423003528745,0.0,0.0
73,False,False,FastText,False,256,8,5,8,0.012307825097891434,0.9566476531871879,0.051020809878202456,0.8216010203880255,0.0,9.090909090909092
74,False,False,FastText,False,256,20,10,20,0.10784426035984514,0.6328600626530282,0.16666797893546134,0.4584998964118978,0.0,0.0
75,True,True,FastText,False,32,2,20,2,-0.12960292151279912,0.5653987717493156,-0.1320872077957908,0.5579044632316312,0.0,0.0
76,False,False,FastText,True,32,2,20,5,0.20113948539847482,0.3694091319960824,0.11281267961958098,0.6171791673554224,0.0,0.0
77,True,False,Word2Vec,True,256,8,50,5,0.22947875466025106,0.3042726125501592,0.14739345075925153,0.5127434659204368,0.0,27.27272727272727
78,True,True,FastText,False,32,8,5,8,0.11395054167740237,0.6136101807371961,-0.005102080987820245,0.9820219714099576,0.0,9.090909090909092
79,False,True,Word2Vec,False,128,20,20,20,0.22741991082877808,0.3087512629719785,0.14002377822128895,0.534266205974574,0.0,9.090909090909092
80,True,True,FastText,True,32,2,5,5,0.007263671114602869,0.9744073022688112,-0.0022675915501423312,0.9920092643391916,0.0,18.181818181818183
81,False,True,FastText,True,256,2,5,2,0.11657896240361437,0.6053982838815704,0.12244994370768589,0.5872222966958964,0.0,0.0
82,True,True,FastText,False,64,8,10,20,0.09946949811866818,0.6596367790881952,0.013038651413318404,0.9540759856993051,0.0,9.090909090909092
83,False,False,FastText,True,256,2,5,2,0.13807740534285556,0.5400198054927324,0.19671356697484724,0.38025374492319697,0.0,0.0
84,False,False,FastText,True,64,20,20,20,0.33501969838351314,0.1274852746583485,0.19444597542470488,0.3858790580850576,0.0,0.0
85,True,True,Word2Vec,False,32,2,20,2,-0.050263875829020595,0.8242074698665531,-0.09183745778076442,0.684395364144228,0.0,9.090909090909092
86,True,True,Word2Vec,False,128,20,50,5,0.2321680362881589,0.2984828473633203,0.19728046486238282,0.37885471992135034,0.0,36.36363636363637
87,True,False,Word2Vec,True,256,20,10,5,0.29971103785620395,0.17538332914401805,0.2199563803638061,0.3253216509496256,0.0,18.181818181818183
88,True,False,FastText,True,128,20,50,20,0.2834296774783075,0.20117612166583468,0.1819742218989221,0.41764534414500243,0.0,0.0
89,False,True,FastText,False,64,8,20,5,0.11538968222398518,0.6091082931582044,0.12301684159522146,0.5854796572670453,0.0,9.090909090909092
90,True,False,FastText,False,64,8,20,5,0.10914156553437537,0.6287505547309408,0.026644200714172395,0.906307034162519,0.0,9.090909090909092
91,True,True,Word2Vec,True,64,8,5,20,0.3535900463409068,0.1064575180146409,0.1950128733122405,0.38446835393512546,0.0,18.181818181818183
92,True,False,Word2Vec,True,256,8,50,20,0.3088957286844107,0.1618844116071189,0.24489988741537178,0.27200123869899945,0.0,0.0
93,False,False,Word2Vec,True,32,2,20,8,0.2939994519289339,0.18415773892304232,0.09864023243119141,0.6623109034246049,0.0,18.181818181818183
94,False,True,FastText,False,256,8,5,5,0.043945177717188866,0.846032827992673,0.15362932752214295,0.49486400792063745,0.0,0.0
95,True,False,Word2Vec,True,32,2,20,8,0.16003717551006874,0.4768176002059486,0.05895738030370062,0.794386226890732,0.0,27.27272727272727
96,True,False,FastText,True,256,8,50,5,0.19729681001670263,0.37881442576174035,0.17970663034877976,0.42356955062384294,0.0,0.0
97,True,False,FastText,False,256,20,20,20,0.14792285183708337,0.5112136097065708,0.14059067610882453,0.5325958086976024,0.0,0.0
98,True,False,FastText,False,256,2,5,2,-0.11635535464101908,0.6060951243184619,-0.07199603171701902,0.750186830068403,0.0,9.090909090909092
99,True,False,Word2Vec,True,128,20,50,5,0.35524921397428155,0.10471068160650283,0.30102277828139445,0.17340952905003068,0.0,18.181818181818183
100,False,True,FastText,False,64,20,5,5,0.15120227561765504,0.501786061964003,0.16269969372271229,0.4694182962268776,0.0,0.0
101,False,True,Word2Vec,True,256,20,50,20,0.32798217897626303,0.13618381582657918,0.20408323951280982,0.3622955662692271,0.0,0.0
102,True,False,FastText,True,64,8,50,5,0.16333229381112324,0.4676689191800143,0.10827749651929633,0.6314865179634123,0.0,0.0
103,True,True,Word2Vec,True,256,2,20,8,0.2183983189329426,0.3288468743769418,0.04251734156516871,0.8509804269246716,0.0,9.090909090909092
104,False,True,FastText,True,32,8,20,5,0.25840467347251633,0.24558896835242383,0.13718928878361106,0.5426546005151731,0.0,0.0
105,False,True,Word2Vec,True,128,8,50,20,0.32307174559747276,0.1424982547323487,0.20408323951280982,0.3622955662692271,0.0,27.27272727272727
106,True,False,FastText,True,128,8,50,5,0.13647886133973983,0.5447664870274472,0.08390088735526625,0.7104777696107393,0.0,0.0
107,True,True,Word2Vec,False,64,20,5,5,0.29562959100381797,0.18162347357901115,0.17006936626067484,0.4492469647391113,0.0,9.090909090909092
108,False,False,Word2Vec,False,64,8,10,20,0.18279522055230438,0.415511605390973,0.08503468313033742,0.7067317015103489,0.0,9.090909090909092
109,True,True,FastText,False,32,8,20,5,0.07515210115469138,0.7395953501379674,-0.01020416197564049,0.9640523646703375,0.0,9.090909090909092
110,False,True,Word2Vec,True,256,8,5,8,0.23165543783999654,0.29958115096591,0.1848087113366,0.41030386784801787,0.0,18.181818181818183
